% Model,gmshNewMeshX10Dif.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 12 2024, 20:25"
% Dimension,3
% Nodes,1730
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
0.002584,0,0.003202,0
0.002038,0,0.003427,0
0.00143,0,0.003713,0
0.001349,0,0.00435,0
0,0,0.005829,0
0,6.23E-4,0.00549,0
6.06E-4,0,0.005451,0
0,6.91E-4,0.006257,0
7.5E-4,0,0.006267,0
0,0,0.006685,0
9.24E-4,9.23E-4,0.004368,0
8.63E-4,0,0.00444,0
0,9.97E-4,0.004409,0
0.001105,0,0.004941,0
7.11E-4,6.85E-4,0.005084,0
0,0.001181,0.005073,0
0,0.00167,0.004556,0
0.001736,0.001373,0.002933,0
0.001107,0.0018,0.003544,0
7.65E-4,0.00211,0.00433,0
0,0.00248,0.004659,0
0,0.002882,0.003915,0
0.002696,6.25E-4,0.002975,0
0.003315,0,0.002483,0
0.003206,0,0.003243,0
0.00435,0.001349,0,0
0.004122,0.00199,0,0
0.00378,0.001083,0.001121,0
0.004409,0,9.97E-4,0
0.002019,0.003845,0,0
0.005451,6.06E-4,0,0
0.00549,0,6.23E-4,0
0.005829,0,0,0
0.006257,0,6.91E-4,0
0.006267,7.5E-4,0,0
0.006685,0,0,0
0.007172,0,8.02E-4,0
0.007234,8.81E-4,0,0
0.007674,0,0,0
0.004556,0,0.001669,0
0.004426,9.87E-4,0.001909,0
0.005073,0,0.001181,0
0.005348,0,0.001983,0
0.004659,0,0.00248,0
0.003915,0,0.002882,0
0.004721,9.2E-4,9.31E-4,0
0.00444,8.61E-4,0,0
0.005863,0,0.001367,0
0.004941,0.001105,0,0
0.005719,0.00147,0,0
0.003947,0.002267,0.001006,0
0.003788,0.002641,0,0
0.004921,0.001847,0,0
0.004634,0.002645,0,0
0.004184,0.003386,0,0
0.008262,0,9.68E-4,0
0.008283,0.001059,0,0
0.008818,0,0,0
6.23E-4,0.00549,0,0
0,0.005829,0,0
0.001567,0.004036,7.52E-4,0
0,0.004941,0.001105,0
7.96E-4,0.005071,7.8E-4,0
0,0.005719,0.00147,0
0.001669,0.004556,0,0
0.00248,0.004659,0,0
0.001181,0.005073,0,0
6.91E-4,0.006257,0,0
0,0.006267,7.5E-4,0
0,0.006685,0,0
8.02E-4,0.007172,0,0
0,0.007234,8.81E-4,0
0,0.007674,0,0
9.68E-4,0.008262,0,0
