% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 8 2024, 18:57"
% Dimension,3
% Nodes,1158
% Expressions,2
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.2
0.001079,0.001088,0.002112,399.99999999999994,399.22766715644843
0.001089,0.001981,0.001972,145.45454545454544,145.44741878018536
0.001422,0.001715,0.002009,222.22222222222217,222.1135006377976
0.001437,0.00261,3.55E-4,184.61538461538458,184.5638948001
0.001622,0.002524,0,199.99999999999997,199.86981705500372
0.002105,0.002106,3.68E-4,166.66666666666663,166.64466073664354
0.001965,0.002267,0,199.99999999999997,199.8091020954918
0.001904,0.002202,7.26E-4,254.5454545454545,254.36826165066302
0.001787,0.002382,3.62E-4,200,199.9277375619385
0.001675,0.002256,0.001052,160,159.95888719232096
0.001579,0.002453,6.99E-4,222.22222222222217,222.0896731546282
0.001457,3.68E-4,0.002596,199.99999999999994,199.90411608126516
0.001622,-4.0E-19,0.002524,199.99999999999997,199.885227360549
0.001806,3.5E-4,0.00237,199.99999999999994,199.90843237983333
0.001602,6.86E-4,0.002442,177.77777777777774,177.73177494311173
0.001233,6.57E-4,0.002655,149.99999999999997,149.94962881906554
0.00139,0.00138,0.002273,153.84615384615384,153.82879453870805
0.001334,0.001024,0.002484,181.8181818181818,181.7315433274951
0.001026,0.001322,0.00249,177.77777777777774,177.70552397969718
6.38E-4,8.91E-4,0.002793,181.8181818181818,181.77707866835144
9.71E-4,9.81E-4,0.002663,200,199.88099827710818
9.49E-4,7.06E-4,0.002757,155.55555555555551,155.53533697266542
0.001888,8.13E-4,7.98E-4,400,399.2039587001065
0.001484,0.001023,8.6E-4,399.99999999999994,399.3292856394101
8.52E-4,0.001841,8.18E-4,399.99999999999994,399.1954012753751
0.001098,0.001098,0.001098,399.9999999999999,399.28534448433567
8.68E-4,0.001487,0.001098,399.99999999999994,399.30623971637306
8.74E-4,0.001063,0.001489,399.9999999999999,399.3098229263652
8.19E-4,8.19E-4,0.001866,399.99999999999994,399.1962651643478
3.43E-4,0.003335,0,0,0.011745733899672183
0,0.003309,7.1E-4,0,0.024481410928107968
0,0.003484,0,0,0.010480333612023331
4.63E-4,0.003776,0,0,-0.004231413854697163
0,0.003716,4.47E-4,0,-0.008878704295640865
0,0.004068,0,0,0.0029722303828373137
0,0.003315,3.3E-4,0,0.01158899179604902
7.21E-4,0.003293,0,0,0.011353061070934964
0.001181,0.003164,0,0,0.01117717287647932
0,0.001621,0.002974,0,0.014425273586597372
0,0.00118,0.003162,0,4.313847314909033E-4
3.3E-4,0,0.003315,0,0.0322405994576201
0,7.21E-4,0.003293,0,0.025836551696727966
0,3.43E-4,0.003335,0,0.011712073263627672
0,0,0.003484,0,0.002169210588660566
7.1E-4,0,0.003309,0,-6.016470642049186E-4
4.47E-4,0,0.003716,0,-0.007759194497253416
0,0.003179,0.00118,0,0.005370244683394619
0,0.002975,0.001635,0,0.020885181754703285
0.00271,0,0.002037,0,0.01384420368829366
0.002388,0,0.002403,0,0.015287947834041025
0.00118,0,0.003179,0,0.022604780819702974
0.003286,7.15E-4,0,0,0.00778737058325484
0.003335,3.43E-4,0,0,0.01845867930153836
0.003335,0,3.43E-4,0,0.01702904523659491
0.003484,0,0,0,0.0031673680573258197
0.003293,0,7.21E-4,0,0.027382650120305652
0.003162,0,0.00118,0,0.013032879890786775
0.002974,0,0.001621,0,0.01370962558856633
0.003268,0.001176,0,0,0.022623820219082127
0.003776,0,4.63E-4,0,-0.007018825247482712
0.003776,4.63E-4,0,0,-0.003357447480752573
0.004068,0,0,0,0.0025983520889961806
0.002766,0.002036,0,0,0.023688203575613912
0.002968,0.001617,0,0,0.015740183738645656
0.003179,0.001459,5.31E-4,0,0.013185350041176656
0.002893,0.001567,9.0E-4,0,0.02417001451533596
0.003423,0.00165,0,0,-0.003938518751060522
0.003211,0.002018,0,0,-0.008569734814755745
0.003102,0.001336,0.00131,0,0.007436874882564905
0,0.002712,0.002043,0,0.005798820089167157
0,0.002037,0.00271,0,0.02063920125363963
0,0.002403,0.002388,0,0.023783065422350386
0,0.004329,6.21E-4,0,-8.691301250593988E-4
5.7E-4,0.004436,0,0,-0.001402255048849508
0,0.004772,0,0,1.9198635123320463E-4
0.001623,0.002977,0,0,0.01521146287005972
0.002472,0.002414,0,0,0.005943229901328902
0.002062,0.002729,0,0,0.006774812281334852
0.001066,0.004202,0,0,-0.0038218391814620347
6.65E-4,0.003504,8.13E-4,0,0.01262154560283245
0.001072,0.003649,0,0,-0.006839411718993704
0,0.003768,0.001009,0,-0.004421568373825123
0.001333,0.003357,6.64E-4,0,0.007301656528903409
0.001579,0.003457,0,0,-0.005629090597474767
9.02E-4,0.003164,0.001162,0,0.00912629716322691
0.001598,0.002936,9.08E-4,0,0.023183164129867463
0.002124,0.003395,0,0,-0.004035644031907487
0.001635,0,0.002975,0,0.022406598656767633
0.002043,0,0.002712,0,0.024402945844334858
0.001263,6.62E-4,0.003193,0,0.02080094312326819
5.92E-4,0.001922,0.002993,0,0.012852460494453847
0,0.002077,0.003247,0,-0.005228871055778463
0,0.001526,0.003629,0,-0.0057567606613295385
0,0.002543,0.002861,0,-0.00890338291098763
0.001058,0.001377,0.003038,0,0.013332740667298469
9.82E-4,0.001977,0.002653,0,0.022391353238729466
0,0.00255,0.00343,0,-0.001416615470969842
5.21E-4,0.001089,0.003284,0,0.012625547535197554
0,0.001002,0.003581,0,-0.010534199595087524
5.82E-4,5.87E-4,0.00348,0,0.012233236592677539
0,4.63E-4,0.003776,0,-0.003327535683123193
0,0,0.004068,0,0.0024108412598549864
0,0.001031,0.004124,0,-0.0026324968737030355
0.001009,0,0.003768,0,-0.005179562506718547
6.21E-4,0,0.004329,0,-3.41514182308447E-4
0,5.23E-4,0.004449,0,8.48387745986444E-4
0,0,0.004772,0,-4.6749104253002556E-4
7.51E-4,0.003244,0.001749,0,0.0033734727858553003
0,0.003246,0.002175,0,-0.006889613097242709
9.46E-4,0.002858,0.002033,0,0.01678228838792025
0,0.00358,0.001625,0,-0.0028385979549134053
0,0.003992,0.002373,0,3.833844539544468E-4
0,0.005145,7.16E-4,0,3.262175730984143E-4
6.7E-4,0.005182,0,0,3.0068939883360273E-4
0,0.005621,0,0,-1.5985168661993362E-4
0.001802,0.004093,0,0,4.0929425526220177E-4
0.002324,5.77E-4,0.002641,0,0.012173096178647614
0.00248,0,0.002839,0,-0.009618569807067228
0.002973,5.66E-4,0.001904,0,0.006042733175649433
0.003247,0,0.002077,0,-0.005426949445443393
0.003629,0,0.001526,0,-0.005765848605623063
0.002368,9.94E-4,0.00232,0,0.02947268271515843
0.00283,0.001102,0.001759,0,0.013336893774448471
0.001785,0.001067,0.002779,0,0.022181013888927112
0.002861,0,0.002543,0,-0.005620528629405649
0.001625,0,0.00358,0,-0.006063278123824174
0.002175,0,0.003246,0,-0.00716014800531694
0.002943,0,0.003262,0,-3.930611043518895E-4
0.003554,8.68E-4,7.66E-4,0,0.007772017618734452
0.003581,0,0.001002,0,-0.011424322382240535
0.003695,8.74E-4,0,0,-0.008018923999890737
0.003312,6.26E-4,0.001338,0,0.017142901387356975
0.004449,0,5.23E-4,0,-5.010544715478247E-4
0.004276,6.97E-4,0,0,-7.594907604929894E-4
0.004772,0,0,0,6.416331156610508E-5
0.003867,0.001318,0,0,-0.003071755400214051
0.004124,0,0.001031,0,-0.0045887571551933015
0.004377,0,0.001601,0,-0.0018167659694569205
0.005129,0,6.11E-4,0,-1.1158747663509451E-4
0.004651,0,0.001027,0,9.770978223957115E-4
0.005169,7.47E-4,0,0,1.6782422553056938E-4
0.005621,0,0,0,-7.878400801868435E-5
0.003877,0,0.002186,0,8.369142944601631E-4
0.00343,0,0.00255,0,8.124409429572543E-4
0.002878,0.002155,7.31E-4,0,0.009169850417681782
0.003174,0.002547,0,0,-0.003673240374098106
0.003825,0.00209,0,0,7.180108997672654E-4
0.002731,0.002972,0,0,-0.003500192808496891
0.001785,0.002848,0.001392,0,0.009316538126514035
0.002589,0.00188,0.001504,0,0.015964170875333143
0.0024,0.002397,9.86E-4,0,0.018346720199629893
0.001777,0.002119,0.002109,0,0.025417917563999724
0.002212,0.001462,0.002551,0,-1.72910569129546E-4
0.002248,0.002243,0.001859,0,0.003015015245282746
0.003442,0.001864,0.001071,0,-0.0017845405471478405
0.002806,0.00165,0.002013,0,-2.557955851198245E-4
0.00345,0.001087,0.001838,0,-0.002327498706392654
7.16E-4,0.002588,0.00259,0,0.003948276676272804
0,0.002839,0.00248,0,-0.0028542780865122397
0.001713,0.002886,0.002078,0,-8.724130746270189E-4
0.001472,0.002199,0.002555,0,0.004112670627329284
0,0.003262,0.002943,0,-0.0015711372873931048
9.59E-4,0.004486,9.96E-4,0,-8.705179981580754E-4
0,0.00443,0.0014,0,0.0010208799494567694
0.001312,0.004722,0,0,7.387257422691569E-4
0,0.005576,0.001425,0,1.4165875477670513E-4
0.0022,0.002924,7.43E-4,0,0.005403312720967143
0.001683,0.003695,0.00125,0,-0.0017396023214044957
0.002504,0.004205,0,0,-3.570719812021121E-4
0.002866,0.003623,0,0,-5.960985759137844E-4
0,0,0.005621,0,3.240236963014125E-5
0,7.3E-4,0.006034,0,1.0702577974372562E-5
0,0,0.006645,0,-5.854314654572196E-6
7.93E-4,0,0.006133,0,-3.1151926857236896E-6
0.001795,7.44E-4,0.003213,0,0.0016625130528132503
0.001577,0.001573,0.003058,0,-0.0017302436938732902
0.001066,0.001111,0.003522,0,-0.002178609818107718
7.16E-4,0,0.005145,0,1.0299091503934611E-5
0,6.11E-4,0.005129,0,2.942078353610295E-5
7.58E-4,0.001835,0.003809,0,-0.0012167469094432797
0,0.001601,0.004377,0,9.661905729005302E-4
0,0.002186,0.003877,0,0.0018958394703870501
0.001191,0.002398,0.003217,0,-0.0016960680023579496
0,0.003026,0.003842,0,7.538896512067558E-4
7.98E-4,8.41E-4,0.004386,0,-5.850742644894803E-4
0,0.001027,0.004651,0,1.3031783787054076E-4
0.0014,0,0.00443,0,8.144023872431305E-4
